42 routes x 5 cluster rivals x 2 seeds x 2 seats = 840 games

route                         90629703_  90631991_  90630506_  90635979_  90635229_  LOSS     worst
f_90630506_p0.py                    0/4        2/4        0/4        0/4        0/4     2      -197
v30.py                              0/4        0/4        2/4        0/4        0/4     2    -1,255
o_90729118.py                       0/4        0/4        2/4        0/4        0/4     2    -1,255
f_90631991_p1.py                    0/4        0/4        2/4        0/4        0/4     2    -2,370
f_90635979_p1.py                    0/4        0/4        2/4        0/4        0/4     2    -3,348
f_90635229_p1.py                    0/4        2/4        2/4        0/4        0/4     4    -3,112
f_90639963_p1.py                    2/4        2/4        2/4        2/4        2/4    10   -16,422
f_90631991_p0.py                    0/4        4/4        2/4        2/4        4/4    12    -3,537
f_90630506_p1.py                    0/4        4/4        2/4        2/4        4/4    12    -3,543
f_90634316_p1.py                    2/4        2/4        4/4        2/4        2/4    12   -17,959
f_90629703_p0.py                    0/4        4/4        4/4        4/4        4/4    16    -4,210
f_90638419_p1.py                    4/4        2/4        4/4        4/4        4/4    18   -18,421

routes sweeping the whole cluster: 0
