leave-block-out over 34 edits -- 8 seeds x 2 seats

variant                     W-L   win%      mean     worst      best
all kept                   2-14  12.5%      -254      -746      +429
drop 568..576              2-14  12.5%      -334      -902       +59
drop 578..600              0-16   0.0%    -2,548    -3,333    -1,737
drop 619..626              2-14  12.5%      -252      -785      +474
drop 646..649              0-16   0.0%      -837    -1,347      -225
drop 661..665              2-14  12.5%      -337      -826      +369
drop 666..669              0-16   0.0%      -923    -1,746      -166
drop 671..674              0-16   0.0%    -1,018    -1,540      -335
drop 675..716              2-14  12.5%      -160      -561      +718
drop 717..718              0-16   0.0%    -2,644    -3,086    -1,642
